Filename,Category,Reference,SHA 1,MD5,Hash (SHA256)
rcs-setup-2015020201.exe,CD,Remote control system related,f24bf41a756388fbf9b90bad8e7a6ab4f979bf0d,942dfaa789db5b5e349be1c077114cb1,bc0ca8f7de902d9b387db9533d0bee3f94e3e915495821bc739adb6ccb70bed2
rcs-setup-2015032101.exe,CD,Remote control system related,832984edb287df44e38ac750086ccb5572ebc0e6,80d9f6c1d803a2321ac5b21615adcad8,78d54fd3dfdf0be1baaec7fd9320cd549582dcfb3e14257fa2169c0fa60af994
rcs-setup-9.4.0.exe,CD,Remote control system related,a0afad754583c3e48b56feabec8cca83627dccea,abd35fcbcfe6b55340cc4c7f993b7212,c6aa5c8c72cb8dff50cefa4f3ec60fda50f64c54148658e3a1912728d83f5024
rcs-translate-2014120801.exe,A,https://www.virustotal.com/en/file/b15b2acbe02d7b0649b41d1fe7e0cd008761cba28d20c5d9fa9c17e3a430d0eb/analysis/,b70d21894318a95717db2c5113be455ccd4c72e0,a4d16a3874aaf01d69c27032cb8988c3,b15b2acbe02d7b0649b41d1fe7e0cd008761cba28d20c5d9fa9c17e3a430d0eb
rcs-translate-9.4.0.exe,A,https://www.virustotal.com/en/file/cc87e067021f8b419cc73863d26bd54e25b6f4c8149d6d331ba50e54aea917ad/analysis/,d981a1a553729bc6ad875d57825dda17b226c385,168b06ee1219ada0afe184f9a70d12a0,cc87e067021f8b419cc73863d26bd54e25b6f4c8149d6d331ba50e54aea917ad
RCSWin32Dropper.exe,A,https://www.virustotal.com/en/file/0ca7fafd58f8ddca6dd182790b1a634205f45bac5c4a3ff4cecc3473d0c47726/analysis/,97400f2cd6873187109fb9a4be4cc199067e8e4b,32fcb852290c66212c9f5377313b3c54,0ca7fafd58f8ddca6dd182790b1a634205f45bac5c4a3ff4cecc3473d0c47726
RCSWin32Polymer.exe,CD,https://www.virustotal.com/en/file/342c4cac3b39eef3b1b455fc5e8cf493547f65aba415ba699c98bf675a746a49/analysis/,dfed8652101fa37eddffac7cbfa8b5792dc7a96b,57a8aca381d5c991dd622bad6221c02d,342c4cac3b39eef3b1b455fc5e8cf493547f65aba415ba699c98bf675a746a49
RCSWinMoDropper.exe,CD,https://www.virustotal.com/en/file/1381fb1455e99da4221589a7d0e51208e8038871586747209031d934fed5f2e6/analysis/,f9377a0161ded2273265b3ce5d3b9809ce3a8e60,1d384e3660e9087a1f5c8af8514fc4c8,1381fb1455e99da4221589a7d0e51208e8038871586747209031d934fed5f2e6
RCSWinMoPolymer.exe,CD,https://www.virustotal.com/en/file/43b98d7043144d35b6657174669dcc1e695cb8e34c0df454c652bdede72ffb93/analysis/,6d9a2661920c2e0d26d0cd64994360fc5016c03f,7f480a7b88f8127d31ad4ec3c825cf4f,43b98d7043144d35b6657174669dcc1e695cb8e34c0df454c652bdede72ffb93
ros.exe,A,https://www.virustotal.com/en/file/a9af1d410b796a7d89050bb8189048260564a1ff0b94db25d0f465ea18b1c02b/analysis/,b904f58d5bfd82d0778bdc9911f3b2193398e7cc,251de11b2d47bab208b578db6f4aa38f,a9af1d410b796a7d89050bb8189048260564a1ff0b94db25d0f465ea18b1c02b
